Index,Name,Status
0,scandinavian_image_10002.jpg,negative
1,scandinavian_image_10015.jpg,positive
2,scandinavian_image_10029.jpg,positive
3,scandinavian_image_10034.jpg,negative
4,scandinavian_image_10056.jpg,negative
5,scandinavian_image_1035.jpg,negative
6,scandinavian_image_108.jpg,positive
7,scandinavian_image_1125.jpg,negative
8,scandinavian_image_1129.jpg,negative
9,scandinavian_image_1142.jpg,negative
10,scandinavian_image_115.jpg,negative
11,scandinavian_image_1163.jpg,negative
12,scandinavian_image_1167.jpg,positive
13,scandinavian_image_1175.jpg,negative
14,scandinavian_image_1187.jpg,positive
15,scandinavian_image_1202.jpg,negative
16,scandinavian_image_1237.jpg,negative
17,scandinavian_image_1260.jpg,negative
18,scandinavian_image_1264.jpg,positive
19,scandinavian_image_1325.jpg,negative
20,scandinavian_image_1334.jpg,positive
21,scandinavian_image_1338.jpg,negative
22,scandinavian_image_1341.jpg,negative
23,scandinavian_image_1353.jpg,negative
24,scandinavian_image_1361.jpg,positive
25,scandinavian_image_1375.jpg,positive
26,scandinavian_image_1391.jpg,negative
27,scandinavian_image_1409.jpg,positive
28,scandinavian_image_1417.jpg,positive
29,scandinavian_image_142.jpg,negative
30,scandinavian_image_1437.jpg,negative
31,scandinavian_image_1454.jpg,positive
32,scandinavian_image_1522.jpg,positive
33,scandinavian_image_1538.jpg,negative
34,scandinavian_image_1574.jpg,positive
35,scandinavian_image_1575.jpg,positive
36,scandinavian_image_1597.jpg,positive
37,scandinavian_image_1663.jpg,positive
38,scandinavian_image_1671.jpg,positive
39,scandinavian_image_1678.jpg,negative
40,scandinavian_image_1712.jpg,negative
41,scandinavian_image_172.jpg,positive
42,scandinavian_image_1750.jpg,negative
43,scandinavian_image_1773.jpg,positive
44,scandinavian_image_1808.jpg,negative
45,scandinavian_image_1830.jpg,positive
46,scandinavian_image_1835.jpg,negative
47,scandinavian_image_186.jpg,positive
48,scandinavian_image_1861.jpg,negative
49,scandinavian_image_1874.jpg,negative
50,scandinavian_image_1917.jpg,positive
51,scandinavian_image_1926.jpg,positive
52,scandinavian_image_1930.jpg,negative
53,scandinavian_image_1932.jpg,negative
54,scandinavian_image_1984.jpg,negative
55,scandinavian_image_1985.jpg,positive
56,scandinavian_image_1994.jpg,positive
57,scandinavian_image_2017.jpg,negative
58,scandinavian_image_2026.jpg,negative
59,scandinavian_image_2038.jpg,negative
60,scandinavian_image_204.jpg,negative
61,scandinavian_image_2045.jpg,negative
62,scandinavian_image_2059.jpg,positive
63,scandinavian_image_2077.jpg,negative
64,scandinavian_image_2086.jpg,negative
65,scandinavian_image_2104.jpg,negative
66,scandinavian_image_2116.jpg,positive
67,scandinavian_image_2133.jpg,negative
68,scandinavian_image_2140.jpg,negative
69,scandinavian_image_2159.jpg,positive
70,scandinavian_image_2211.jpg,positive
71,scandinavian_image_2219.jpg,negative
72,scandinavian_image_2266.jpg,negative
73,scandinavian_image_2278.jpg,positive
74,scandinavian_image_2301.jpg,negative
75,scandinavian_image_2303.jpg,positive
76,scandinavian_image_2306.jpg,negative
77,scandinavian_image_2323.jpg,positive
78,scandinavian_image_2332.jpg,negative
79,scandinavian_image_2346.jpg,negative
80,scandinavian_image_2350.jpg,positive
81,scandinavian_image_2361.jpg,negative
82,scandinavian_image_2365.jpg,negative
83,scandinavian_image_2404.jpg,negative
84,scandinavian_image_2415.jpg,negative
85,scandinavian_image_2421.jpg,negative
86,scandinavian_image_244.jpg,positive
87,scandinavian_image_2457.jpg,negative
88,scandinavian_image_2473.jpg,negative
89,scandinavian_image_2493.jpg,negative
90,scandinavian_image_2496.jpg,positive
